"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Control\TP_Control.h", "C++", 127, 54, 43, 224
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Display.h", "C++", 335, 60, 69, 464
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Motor\DSHOT.h", "C++", 221, 138, 82, 441
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Motor\ESCCMD.h", "C++", 785, 313, 255, 1353
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Motor\TP_Motor.h", "C++", 50, 71, 29, 150
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_RC.h", "C++", 55, 5, 13, 73
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_SD.h", "C++", 15, 0, 4, 19
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Sense\TP_BMP280.h", "C++", 95, 0, 9, 104
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Sense\TP_LSM9DS1.h", "C++", 273, 101, 63, 437
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Sense\TP_MPU6050.h", "C++", 79, 61, 13, 153
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Sense\TP_Mag5883.h", "C++", 61, 18, 10, 89
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_Serial.h", "C++", 100, 0, 26, 126
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_StateEstimate\TP_BKF.h", "C++", 39, 23, 13, 75
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_StateEstimate\TP_EKF.h", "C++", 193, 58, 50, 301
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_StateEstimate\TP_ESTIMATOR.h", "C++", 182, 33, 17, 232
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_StateEstimate\TP_MEKF.h", "C++", 266, 104, 43, 413
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_StateEstimate\TP_MEKF2.h", "C++", 297, 119, 47, 463
"c:\Users\Admin\Documents\PlatformIO\Projects\TeensyPilot\include\TP_StateEstimate\TP_TRIAD.h", "C++", 19, 1, 5, 25
"Total", "-", 3192, 1159, 791, 5142
